sample,configuration,F_kch_peak_N,F_chv1_peak_N,a_peak_m_s2,j_peak_m_s3,P_peak_W,P_mean_W,u1_peak_m
26,rigid,46910.88722042643,0.0,2.3278921614355,21.9329910879093,92300.00000000001,77736.9631633535,0.0
26,compliant,41484.14829474605,11323.087331309369,2.301658450944899,32.78822714502854,92300.00000000001,78570.83030649398,0.05921499144745173
27,rigid,43958.34676725883,0.0,2.332981472466656,20.674349608045844,92300.00000000001,77333.94524570793,0.0
27,compliant,41128.86555231752,11870.23745721668,2.4060323706311237,30.043846403604817,92300.00000000001,78583.2220300608,0.060338661389166756
28,rigid,46923.031077995736,0.0,2.3275328965283393,21.940360319833502,92300.00000000001,77739.71009134242,0.0
28,compliant,41723.84888208601,10866.947806781918,2.337655213701339,32.83134216635068,92300.00000000001,79117.90909890959,0.05385917808110803
29,rigid,43813.29003941396,0.0,2.2842458568282495,20.983199589110484,92300.00000000001,77413.29509329321,0.0
29,compliant,41438.330432722,11477.121445907967,2.404166446378497,30.75361602742163,92300.00000000001,78874.25865261655,0.06191516729108219
30,rigid,43801.423049666126,0.0,2.2806087233839207,21.005669258293125,92300.00000000001,77419.46706540072,0.0
30,compliant,41465.43637724882,11580.993125259693,2.401663027701261,30.80817986330453,92300.00000000001,78727.38026413169,0.06115276511116714
31,rigid,46598.13727130253,0.0,2.329840437406233,21.802878490892653,92300.00000000001,77685.07770776257,0.0
31,compliant,41578.22404816994,11215.736978895537,2.3287738112964007,32.51725300704669,92300.00000000001,78712.30184462736,0.05933232999681848
32,rigid,43959.98829187967,0.0,2.3337913497808245,20.668841572423446,92300.00000000001,77332.56565796728,0.0
32,compliant,41131.41042824367,12018.949198710961,2.4001987364064803,30.020632349789764,92300.00000000001,78187.68443785557,0.06083977916334195
33,rigid,44891.27049505815,0.0,2.2935981092010707,21.370927051489502,92300.00000000001,77531.98301953569,0.0
33,compliant,41603.06285809435,11557.7958224598,2.3679699296554872,31.572770531826677,92300.00000000001,78538.6378734756,0.05712518436755337
