P_peak_W,P_mean_W,E_engine_J,M_peak_Nm,M_mean_Nm,F_kch_peak_N,F_chv1_peak_N,F_v1v2_peak_N,a_peak_m_s2,a_rms_m_s2,j_peak_m_s3,j_rms_m_s3,u1_peak_m,u2_peak_m,du1_peak_m_s,du2_peak_m_s,t_manoeuvre_s,distance_m,v_end_m_s,v_mean_m_s,settling_time_s,run_id,configuration,scenario,scale,wall_time_s,braking_time_s,braking_distance_m,mean_decel_m_s2
92300.00000000001,73947.48179016546,240251.89452647715,35499.96171313364,19629.121509937708,38292.75970821232,0.0,0.0,2.8088297653324616,1.3425351999029322,27.502764083455645,7.517817575199427,0.0,0.0,0.0,0.0,3.248953023285089,7.2741874602133745,3.9999999999999996,2.2389328032618514,0.0,1,rigid,start_off,full_scale,0.11556267738342285,,,
92300.00000000001,74091.57435377086,241412.7749953792,35499.9813000632,19617.797302807878,35761.72910943635,4506.160986654025,2404.543632717414,2.628236486888113,1.335645937144128,30.211982780237577,7.412794634456276,0.022530810461431787,0.016030318719792595,0.10167950334543328,0.10905906619795187,3.2583026761273377,7.3158682266327695,3.9999999999999996,2.2453003891255006,3.2583026761273377,1,compliant,start_off,full_scale,0.671220064163208,,,
92300.00000000001,83573.03418661795,2215358.4081042595,35499.786507969286,9453.747198158193,4004.012257124078,0.0,0.0,0.6187768800533013,0.6104844327310414,6.944111824779153,0.5918219297796992,0.0,0.0,0.0,0.0,26.508052862570253,217.2139639075649,0.0010000000000265886,8.194263189648783,0.0,1,rigid,braking,full_scale,,26.508052862570253,217.2139639075649,-0.6088186384010909
92300.00000000001,83583.25084438102,2214185.586554424,35499.60993090538,9458.341747177468,4004.012320154677,866.2876305783282,433.1438153459821,0.6187797611192991,0.6108119182399794,7.493151341217679,0.6060797187404406,0.004331438152891717,0.0028876254356394655,0.022817474473699372,0.022717000756442018,26.490780918259475,216.95051499075635,0.000999999999992029,8.189660907965537,26.490780918259475,1,compliant,braking,full_scale,,26.490780918259475,216.95051499075635,-0.6092155871131604
92300.00000000001,77349.49877721796,308489.77975000045,35499.8496319202,18154.499035564273,38292.75706802417,0.0,0.0,2.808811734112396,1.2462675741414824,27.499092469182585,6.785089554928623,0.0,0.0,0.0,0.0,3.9882582903156587,10.420484638809116,4.5,2.6127908305268845,0.0,2,rigid,start_off,full_scale,0.12088251113891602,,,
92300.00000000001,77488.2273751499,310379.11459819344,35499.8766664516,18135.932079185706,35761.76349244482,4506.177920134977,2404.548359561038,2.628193907092623,1.2388723420865735,30.209501228390934,6.68540816063435,0.02253063820417586,0.016030323381569168,0.10168252396555001,0.1090569155466374,4.005500256129624,10.495812553075176,4.5,2.620350002292397,4.005500256129624,2,compliant,start_off,full_scale,0.698636531829834,,,
92300.00000000001,83573.03418661795,2215358.4081042595,35499.786507969286,9453.747198158193,4004.012257124078,0.0,0.0,0.6187768800533013,0.6104844327310414,6.944111824779153,0.5918219297796992,0.0,0.0,0.0,0.0,26.508052862570253,217.2139639075649,0.0010000000000265886,8.194263189648783,0.0,2,rigid,braking,full_scale,,26.508052862570253,217.2139639075649,-0.6088186384010909
92300.00000000001,83583.25084438102,2214185.586554424,35499.60993090538,9458.341747177468,4004.012320154677,866.2876305783282,433.1438153459821,0.6187797611192991,0.6108119182399794,7.493151341217679,0.6060797187404406,0.004331438152891717,0.0028876254356394655,0.022817474473699372,0.022717000756442018,26.490780918259475,216.95051499075635,0.000999999999992029,8.189660907965537,26.490780918259475,2,compliant,braking,full_scale,,26.490780918259475,216.95051499075635,-0.6092155871131604
92300.00000000001,79966.50957010593,386599.4806571987,35499.866593460196,16804.96270528104,38292.642624602704,0.0,0.0,2.808777413640712,1.1586511431500661,27.498212769931968,6.162151087176593,0.0,0.0,0.0,0.0,4.8345173840340046,14.44475589518164,5.0,2.987838250485723,0.0,3,rigid,start_off,full_scale,0.12547850608825684,,,
92300.00000000001,80093.30253792867,389279.6966985018,35499.757314046015,16783.248500899073,35761.721422164876,4506.18291348101,2404.5259357199684,2.6281898584555847,1.1511285147229027,30.20613596764707,6.0684541468688185,0.022530707684063293,0.016030148079642453,0.10168027848717953,0.10905500574622701,4.860327697364658,14.560811324666657,5.0,2.9958497243183,4.860327697364658,3,compliant,start_off,full_scale,0.7109673023223877,,,
92300.00000000001,83573.03418661795,2215358.4081042595,35499.786507969286,9453.747198158193,4004.012257124078,0.0,0.0,0.6187768800533013,0.6104844327310414,6.944111824779153,0.5918219297796992,0.0,0.0,0.0,0.0,26.508052862570253,217.2139639075649,0.0010000000000265886,8.194263189648783,0.0,3,rigid,braking,full_scale,,26.508052862570253,217.2139639075649,-0.6088186384010909
