response,term,coefficient,std_error,t_value,p_value,ci_low,ci_high,std_coefficient
P_mean_W,const,78664.76593501518,12.352580037398349,6368.286276781999,1.176963842778288e-55,78638.70426922584,78690.82760080452,29.97901259589983
P_mean_W,x1,544.5731982529771,5.718133441336283,95.2361821982445,1.2386995890096059e-24,532.5089912423169,556.6374052636373,0.17268034659046136
P_mean_W,x2,739.7069230657584,5.718133441336279,129.36160561039569,6.83763230642181e-27,727.6427160550983,751.7711300764184,0.23455588387407492
P_mean_W,x3,3006.4659628651093,5.718133441336282,525.7775100405006,3.057026959595062e-37,2994.401755854449,3018.5301698757694,0.9533292974121024
P_mean_W,x1x2,75.85072616138791,7.003254606209351,10.83078231857168,4.747566359353925e-09,61.075150497675445,90.62630182510037,0.019638158538565115
P_mean_W,x1x3,-0.7842255333089393,7.003254606209354,-0.11198015457179222,0.9121507340552316,-15.559801197021411,13.991350130403532,-0.00020304018343006363
P_mean_W,x2x3,-18.654893695357526,7.003254606209349,-2.6637463214342367,0.01636606161637949,-33.43046935906999,-3.879318031645065,-0.004829851715987929
P_mean_W,x1^2,-10.626764926581904,9.904097644853113,-1.0729664940353594,0.29828165089441294,-31.52258442207392,10.269054568910109,-0.001945481452462017
P_mean_W,x2^2,42.62590964108572,9.90409764485311,4.303866053182265,0.0004809570793002875,21.730090145593714,63.521729136577726,0.007803684110261757
P_mean_W,x3^2,-415.9478182085635,9.904097644853113,-41.997548199125454,1.2906094519477556e-18,-436.8436377040555,-395.0519987130715,-0.07614911698033469
E_engine_J,const,404161.6526405634,1449.7940026318452,278.7717785470758,1.476229159123852e-32,401102.8546691616,407220.45061196515,3.6807413829520543
E_engine_J,x1,54651.12440344991,671.1242140831307,81.43220473442848,1.7646515464761915e-23,53235.176081916274,56067.07272498355,0.41412254994382514
E_engine_J,x2,53832.64799990254,671.1242140831303,80.21264450046269,2.279250542633153e-23,52416.6996783689,55248.59632143618,0.40792049026059396
E_engine_J,x3,105094.98496535173,671.1242140831306,156.59543011561473,2.663669737657191e-28,103679.0366438181,106510.93328688537,0.796364276768879
E_engine_J,x1x2,8257.219273851286,821.9559392650253,10.045817396531872,1.4478772192922358e-08,6523.043828897432,9991.39471880514,0.051087889982707774
E_engine_J,x1x3,17245.987630158237,821.9559392650256,20.981644886682382,1.3657046849679543e-13,15511.812185204382,18980.16307511209,0.10670191616235518
E_engine_J,x2x3,17614.963402704383,821.955939265025,21.430544584245354,9.648499250268578e-14,15880.78795775053,19349.138847658236,0.10898479046288591
E_engine_J,x1^2,2277.31157485005,1162.4212369817149,1.9591104346675599,0.0667100273563362,-175.18285893808752,4729.806008638187,0.009963033807963121
E_engine_J,x2^2,2638.7912364097974,1162.4212369817142,2.270081750451801,0.03649875765246449,186.29680262166175,5091.285670197933,0.011544474893488702
E_engine_J,x3^2,8436.210691033208,1162.4212369817149,7.257447147936021,1.3392259936937187e-06,5983.716257245071,10888.705124821345,0.036907664833433294
M_peak_Nm,const,35499.92819152929,0.045875590807820256,773830.4306585134,4.287160523920933e-91,35499.83140249316,35500.02498056542,389658.8799730833
M_peak_Nm,x1,0.0026332946996595274,0.021236272029410447,0.12399985722600634,0.9027697480689469,-0.04217132284309369,0.04743791224241274,0.024049505272678177
M_peak_Nm,x2,-0.011851633019971447,0.021236272029410433,-0.5580844417305421,0.5840625050003205,-0.05665625056272463,0.03295298452278173,-0.10823927562703203
M_peak_Nm,x3,-0.047285648620846506,0.021236272029410443,-2.2266454561968256,0.03977942190559043,-0.09209026616359972,-0.0024810310780932973,-0.43185309110145925
M_peak_Nm,x1x2,-0.02939693021336452,0.0260090152554971,-1.1302592552846218,0.27406216131796113,-0.08427115576351314,0.0254772953367841,-0.2192113485253267
M_peak_Nm,x1x3,0.0021039379934740445,0.02600901525549711,0.08089264329334302,0.9364720475461388,-0.0527702875566746,0.056978163543622694,0.015688953962731792
M_peak_Nm,x2x3,0.009498080608699964,0.026009015255497092,0.36518416846606727,0.7194776962969187,-0.04537614494144864,0.06437230615884856,0.07082668304219092
M_peak_Nm,x1^2,-0.030642027847619095,0.036782302118292726,-0.8330644381385818,0.41635952413748034,-0.10824590184535948,0.0469618461501213,-0.1615710537551541
M_peak_Nm,x2^2,0.043950724659275235,0.03678230211829271,1.1948878163723606,0.2485353651133714,-0.03365314933846513,0.1215545986570156,0.2317459187693252
M_peak_Nm,x3^2,-0.03208020281680465,0.03678230211829273,-0.872164083521308,0.39527039292040056,-0.10968407681454506,0.04552367118093576,-0.16915434577522356
M_mean_Nm,const,17929.919914936774,5.306514555254341,3378.85060490094,5.624324633369614e-51,17918.7241478641,17941.115682009447,14.240839373998229
M_mean_Nm,x1,-133.24595483977,2.4564389174950354,-54.243544950691536,1.7182384636205678e-20,-138.42858793389672,-128.0633217456433,-0.0880563845509915
M_mean_Nm,x2,-85.45564986759976,2.4564389174950336,-34.7884285902552,3.061765037927658e-17,-90.63828296172646,-80.27301677347306,-0.05647387626772655
M_mean_Nm,x3,-1503.1908130967117,2.4564389174950345,-611.9390156176153,2.317134349282464e-38,-1508.3734461908384,-1498.008180002585,-0.9933926208171416
M_mean_Nm,x1x2,-30.322519595350663,3.0085109660887515,-10.078912770184047,1.3796176473672037e-08,-36.66992289768666,-23.975116293014665,-0.016361626430462687
M_mean_Nm,x1x3,-30.47956411716101,3.0085109660887523,-10.13111285307572,1.2787358809308112e-08,-36.82696741949701,-24.13216081482501,-0.016446365556138955
M_mean_Nm,x2x3,-53.242181165204926,3.00851096608875,-17.697187002254157,2.1872347319757462e-12,-59.589584467540924,-46.89477786286893,-0.028728769580931176
M_mean_Nm,x1^2,4.412863694823785,4.254677010790895,1.037179481223061,0.3141808757081233,-4.563720141191557,13.389447530839128,0.0016837077172960721
M_mean_Nm,x2^2,3.9252734865094956,4.254677010790893,0.9225784886970386,0.36913618610946075,-5.051310349505841,12.901857322524833,0.0014976699301829694
