response,note,mean,std,R2,R2_adj,R2_pred_LOO,RMSE,MAE,AIC,BIC,R2_first_order,R2_pred_first_order,RMSE_first_order,curvature_F,n_obs
P_peak_W,constant response - no model fitted,,,,,,,,,,,,,,
P_mean_W,,78408.8001526858,2623.9945589726995,0.9999441104271657,0.9999145218297828,0.99980101290705,19.25010564299638,14.61962353240233,256.32857442104864,269.2869430810919,0.9940807400265064,0.9898542111815258,198.1077335024767,594.4895249463044,27.0
E_engine_J,,413063.1949754253,109804.41454335887,0.9995603426945646,0.9993275829446282,0.9984464416431629,2259.3407714623163,1703.0937051537417,513.6554119993472,526.6137806593905,0.9979656300278825,0.9956075519447376,4860.036837285402,20.553974651348433,27.0
M_peak_Nm,,35499.91567719195,0.09110514353986117,0.36053195838518015,0.021990054000863846,-0.7951134249641414,0.0714919447444771,0.052013218336570494,-45.838526020393715,-32.880157360350424,0.2521073893995627,-0.517852031993538,0.07731563190655469,0.9608078135804373,27.0
M_mean_Nm,,17985.34415955205,1259.049375114383,0.9999552003631571,0.9999314829083579,0.9998624860783178,8.26960565934197,6.18208556244402,210.70236932290425,223.66073798294752,0.9991356526159343,0.998407948528449,36.32383671099568,103.66387382149657,27.0
F_kch_peak_N,,40969.91523695266,2685.244716984676,0.9780782883743528,0.9664726763372455,0.9468190458475668,390.14486296082333,325.76341462331067,418.8146589298784,431.7730275899217,0.9582063531934446,0.9327231418825386,538.6960571288342,5.1368084123535915,27.0
F_chv1_peak_N,,11734.956543093555,3796.61775566488,0.9951869605568182,0.9926388808516043,0.9874884873561343,258.4707343780662,226.78863633116296,396.58093440534554,409.5393030653888,0.9906145691590148,0.9836805506311285,360.9348134204213,5.383337956556974,27.0
F_v1v2_peak_N,,5850.551438547029,3373.977325388534,0.9972268122224585,0.9957586539872894,0.9927741200413706,174.35587681836049,153.71079693604418,375.3219986898477,388.280367349891,0.9941049326056614,0.9892635527166386,254.20924380579905,6.3791753681868,27.0
a_peak_m_s2,,2.310587559595292,0.1844907625368795,0.9754605481136133,0.9624690735855261,0.9419312953447317,0.02836036701729068,0.02392772948913972,-95.76650155260157,-82.80813289255828,0.971562021217656,0.9567789575841511,0.030530138938771614,0.9002504421331549,27.0
a_rms_m_s2,,1.005545416759856,0.14645819595102857,0.9999287688240147,0.9998910582014343,0.9998141948671603,0.0012129796905508662,0.0010392307936721691,-265.9697903920732,-253.01142173202993,0.9982431769689311,0.9963808541288844,0.006023965559957319,134.0941946653638,27.0
j_peak_m_s3,,31.55584238586513,0.769179099157206,0.9999979075027309,0.999996799710059,0.999994526871282,0.00109185436970021,0.0008862100894155844,-271.65071887514034,-258.69235021509706,0.9998305782817304,0.9996756606563684,0.009824643663000359,453.1422492053092,27.0
j_rms_m_s3,,6.611487578264107,0.6575941403707212,0.9837564646013425,0.9751569458608768,0.9592381645995897,0.08224376930066339,0.06983665371864894,-38.272972057980496,-25.314603397937205,0.9431937899793027,0.8949001430684093,0.1538015223307548,14.150562088260429,27.0
u1_peak_m,,0.05867371639884649,0.018982557163803575,0.9951892056981598,0.9926423145971857,0.9874942759496209,0.00129201603078805,0.0011336388900200524,-262.56109836922036,-249.60272970917708,0.9906154563544161,0.9836827272127154,0.0018045382312135395,5.387449830887087,27.0
u2_peak_m,,0.03900346989205455,0.022493022911805965,0.9972267371883726,0.9957585392292758,0.9927739460552956,0.001162380007156479,0.0010247463273495307,-268.27074406290103,-255.31237540285775,0.9941049602281077,0.9892635974432931,0.001694712322470791,6.3787930113702105,27.0
t_manoeuvre_s,,5.232054518604419,1.2288593179917853,0.9995752490811518,0.999350380947644,0.9985057758332202,0.024852731183126527,0.01869220838037071,-102.8958509954578,-89.93748233541451,0.9981138051039671,0.9959418847934816,0.05237213051493003,19.497346570011445,27.0
distance_m,,14.425743893739336,4.978758892239395,0.9993506559932023,0.9990068856366623,0.9978138157551775,0.12449826674060716,0.09296120863035198,-15.88434739351733,-2.9259787334740395,0.9946441454365665,0.9894822636901508,0.357552875181973,41.072568944042395,27.0
