response,term,coefficient,std_error,t_value,p_value,ci_low,ci_high,std_coefficient
P_mean_W,const,77314.64671361199,0.16995522280449105,454911.8611232756,3.5841401845667375e-87,77314.28813943539,77315.00528778859,30.973149531917098
P_mean_W,x1,1.8428961303128213,0.07867398066686004,23.424467844285743,2.22868479729074e-14,1.6769085403317334,2.008883720293909,0.0006142908269603217
P_mean_W,x2,2.3022621257695857,0.07867398066686,29.263323226498084,5.53218809372863e-16,2.136274535788498,2.4682497157506735,0.0007674108604690404
P_mean_W,x3,2991.5836729928096,0.07867398066686003,38025.070647695844,7.550189856537714e-69,2991.4176854028287,2991.7496605827905,0.9971817609122713
P_mean_W,x1x2,-0.18415219014429854,0.09635555433369788,-1.911173584311953,0.07299325102531794,-0.3874446396882858,0.01914025939968869,-5.011923469835009e-05
P_mean_W,x1x3,0.0738735029323901,0.09635555433369791,0.7666761241033587,0.45379000288615623,-0.1294189466115972,0.2771659524763774,2.0105562842106355e-05
P_mean_W,x2x3,-0.1748988273838687,0.09635555433369784,-1.8151400673609366,0.08718552162801849,-0.3781912769278558,0.028393622160118454,-4.7600820664959815e-05
P_mean_W,x1^2,0.015771188872683226,0.1362673317486932,0.11573712253916259,0.9092170403728523,-0.27172775040047165,0.30327012814583815,3.0351277641482806e-06
P_mean_W,x2^2,0.1369016301254201,0.13626733174869313,1.004654808812847,0.3291498569077812,-0.15059730914773464,0.42440056939857485,2.6346392900697523e-05
P_mean_W,x3^2,-389.80482278989973,0.1362673317486932,-2860.5889451830258,9.536706129880374e-50,-390.0923217291729,-389.51732385062655,-0.07501701043589351
E_engine_J,const,289670.8009869142,4.2632517230548626,67945.97640585684,3.911692943169743e-73,289661.8063120167,289679.7956618117,5.103731215504116
E_engine_J,x1,382.3818665729919,1.9735020677970774,193.7580268156627,7.147434744288782e-30,378.21814116746765,386.54559197851614,0.005605701158479828
E_engine_J,x2,386.9997023826275,1.973502067797076,196.0979462335281,5.82855545062616e-30,382.83597697710326,391.16342778815175,0.00567339842608235
E_engine_J,x3,68161.38497372653,1.973502067797077,34538.28910846378,3.872883368058104e-68,68157.221248321,68165.54869913205,0.9992428724071611
E_engine_J,x1x2,0.6615136964423851,2.417036536215167,0.2736879176341489,0.7876219314245481,-4.437987639856327,5.7610150327410965,7.918189001807382e-06
E_engine_J,x1x3,97.46087802872165,2.417036536215168,40.322467852031494,2.5613597678858696e-18,92.36137669242294,102.56037936502037,0.001166587565251912
E_engine_J,x2x3,94.95235782311039,2.417036536215166,39.28461833340598,3.972384920478014e-18,89.85285648681167,100.0518591594091,0.0011365610711525375
E_engine_J,x1^2,-0.7303815604318314,3.4182058502667774,-0.21367395423971558,0.833343001943837,-7.94216551156519,6.481402390701528,-6.181897867684695e-06
E_engine_J,x2^2,1.9694756062038585,3.418205850266776,0.5761723232818613,0.5720486795009748,-5.242308344929498,9.181259557337215,1.6669502230108656e-05
E_engine_J,x3^2,4494.928150583634,3.418205850266778,1314.996330672368,5.216711735396004e-44,4487.716366632501,4502.139934534767,0.038044753940748396
M_peak_Nm,const,35499.93554331666,0.026445866469863768,1342362.353064529,3.675889378760457e-95,35499.87974741561,35499.991339217704,617817.1602486204
M_peak_Nm,x1,-0.019448548172706366,0.012242057366850424,-1.5886666423709133,0.13055944392534422,-0.04527703151001484,0.006379935164602106,-0.28162367920114445
M_peak_Nm,x2,-0.01793076587453605,0.012242057366850415,-1.4646856600337268,0.16125540429064789,-0.0437592492118445,0.007897717462772406,-0.25964551243819
M_peak_Nm,x3,-0.028163764465434542,0.01224205736685042,-2.300574455867003,0.03434762102112705,-0.053992247802743004,-0.0023352811281260773,-0.407823910477859
M_peak_Nm,x1x2,-0.01589804797444888,0.014993396975331679,-1.0603366268901975,0.3038246793047342,-0.04753135047764055,0.01573525452874279,-0.18796637009441866
M_peak_Nm,x1x3,-0.010366280777715394,0.014993396975331683,-0.6913897360798767,0.4986545307677476,-0.04199958328090707,0.021267021725476284,-0.12256298209052655
M_peak_Nm,x2x3,-0.011364065538158651,0.014993396975331674,-0.7579380147711497,0.45886688702962053,-0.042997368041350306,0.020269236965033008,-0.13436002659922822
M_peak_Nm,x1^2,-0.0028061049924708718,0.021203865348557803,-0.13233931391012776,0.896269673874923,-0.04754235041513531,0.041930140430193566,-0.023459852112652217
M_peak_Nm,x2^2,0.02986743008674735,0.021203865348557793,1.4085842178194563,0.17698523901921812,-0.014868815335917069,0.07460367550941177,0.24970038352096532
M_peak_Nm,x3^2,-0.017507589085769635,0.021203865348557803,-0.8256791296290903,0.4204229156406085,-0.06224383450843407,0.027228656336894804,-0.14636852573345158
M_mean_Nm,const,18181.999130354463,0.07468233383678721,243457.83261259476,1.4789198650743834e-82,18181.841564403145,18182.15669630578,15.53766096018491
M_mean_Nm,x1,-0.6250749501219004,0.03457120288201066,-18.08079841060902,1.5457442164790355e-12,-0.6980138125067978,-0.552136087737003,-0.00044445283576432273
M_mean_Nm,x2,-0.6644662169497035,0.03457120288201064,-19.220222658074274,5.726566268274206e-13,-0.737405079334601,-0.5915273545648061,-0.0004724615733445952
M_mean_Nm,x3,-1405.9269903973568,0.034571202882010654,-40667.575125913245,2.409504054965503e-69,-1405.9999292597417,-1405.8540515349719,-0.9996692998781104
M_mean_Nm,x1x2,-0.09167581168541708,0.042340903427580685,-2.1651831742848415,0.044888478466016825,-0.18100730931645712,-0.0023443140543770447,-5.322341303221695e-05
M_mean_Nm,x1x3,-0.08978088838914654,0.0423409034275807,-2.120429209610667,0.0489807116677702,-0.17911238602018661,-0.00044939075810646045,-5.212329421780322e-05
M_mean_Nm,x2x3,-0.023195162607359286,0.04234090342758067,-0.547819265288753,0.5909371035975456,-0.1125266602383993,0.06613633502368071,-1.3466209866100307e-05
M_mean_Nm,x1^2,-0.008034815693678567,0.059879079870414076,-0.1341840207141948,0.894832850520917,-0.13436863119059542,0.1182989998032383,-3.298442201849297e-06
M_mean_Nm,x2^2,-0.16270590183645744,0.05987907987041405,-2.717241183207453,0.01463820552120836,-0.28903971733337425,-0.036372086339540644,-6.679381750219274e-05
M_mean_Nm,x3^2,62.62076547313347,0.059879079870414076,1045.7870362846716,2.5618797422493182e-42,62.494431657636554,62.74709928863038,0.025706996080967468
F_kch_peak_N,const,35989.252234955115,59.79042500689688,601.9233385747588,3.067497535889571e-38,35863.1054648703,36115.39900503993,111.82126882749363
F_kch_peak_N,x1,-98.94823012014857,27.67758862266426,-3.5750307394598364,0.0023319037083573196,-157.34283775310402,-40.5536224871931,-0.2558051016770165
F_kch_peak_N,x2,-255.25085099059424,27.677588622664242,-9.222293692940358,5.003972721702848e-08,-313.64545862354964,-196.85624335763882,-0.6598851723927723
F_kch_peak_N,x3,-0.040782337776112176,27.677588622664253,-0.0014734787170988185,0.9988414874390856,-58.43538997073156,58.353825295179334,-0.00010543220478807227
F_kch_peak_N,x1x2,-195.27150986520473,33.89798471809425,-5.760563983055065,2.3071608596303348e-05,-266.79000608059107,-123.75301364981839,-0.41218712866927915
F_kch_peak_N,x1x3,-0.030942946953514353,33.897984718094264,-0.0009128255620753008,0.9992822969772183,-71.5494391623399,71.48755326843286,-6.531564418249822e-05
F_kch_peak_N,x2x3,-0.011855208423318076,33.897984718094236,-0.00034973195374030433,0.9997250255445488,-71.53035142380963,71.50664100696301,-2.502446118820154e-05
F_kch_peak_N,x1^2,-34.83320070237303,47.938989725444806,-0.72661524370599,0.4773484884704018,-135.97562801070126,66.30922660595522,-0.05199168897897782
F_kch_peak_N,x2^2,-327.8616317436487,47.938989725444785,-6.839143536844877,2.8775549178545428e-06,-429.00405905197687,-226.71920443532048,-0.48936301120886283
F_kch_peak_N,x3^2,0.0014836064723224257,47.93898972544481,3.094780429915828e-05,0.9999756674912721,-101.14094370185593,101.14391091480057,2.2144162672634084e-06
F_chv1_peak_N,const,518.3986706049744,4.414119354464374,117.44101800978123,3.531049440918307e-26,509.08569282851056,527.7116483814383,1.9252368825864563
F_chv1_peak_N,x1,148.86318856455276,2.0433402105790783,72.85286502650737,1.1651232850778242e-22,144.5521175574601,153.17425957164542,0.45999931987650455
F_chv1_peak_N,x2,277.40923770757024,2.043340210579077,135.76262840193078,3.0106499234266684e-27,273.0981667004776,281.7203087146629,0.857217031983741
F_chv1_peak_N,x3,-0.003113353083354415,2.043340210579078,-0.0015236586972817894,0.9988020338047541,-4.314184360176025,4.307957654009316,-9.620513403536421e-06
F_chv1_peak_N,x1x2,58.97056889057838,2.5025704434149363,23.56399958520601,2.0204232075314532e-14,53.69060678443665,64.2505309967201,0.14878514082899963
F_chv1_peak_N,x1x3,0.0012562186808584167,2.502570443414937,0.0005019713567559824,0.9996053283211855,-5.278705887460867,5.281218324822583,3.169490762253803e-06
F_chv1_peak_N,x2x3,0.002627029307749033,2.5025704434149354,0.0010497324119932722,0.9991746549168014,-5.277335076833972,5.282589135449469,6.6281016593312325e-06
F_chv1_peak_N,x1^2,21.63423607518179,3.539169061871453,6.112800970220385,1.1491403165095268e-05,14.167242055860154,29.101230094503425,0.038596756460006286
