P_peak_W,P_mean_W,E_engine_J,M_peak_Nm,M_mean_Nm,F_kch_peak_N,F_chv1_peak_N,F_v1v2_peak_N,a_peak_m_s2,a_rms_m_s2,j_peak_m_s3,j_rms_m_s3,u1_peak_m,u2_peak_m,du1_peak_m_s,du2_peak_m_s,t_manoeuvre_s,distance_m,v_end_m_s,v_mean_m_s,settling_time_s,run_id,configuration,scenario,scale,wall_time_s
92300.00000000001,73927.788879809,225417.394409322,35499.9340208653,19651.374618720354,35960.81804806086,0.0,0.0,2.9689297317671617,1.4285135921216745,29.79678186161027,8.191305158659468,0.0,0.0,0.0,0.0,3.049156451517888,6.817554699874981,4.0,2.235882233786249,0.0,1,rigid,start_off,rig_scale,0.11373090744018555
92300.00000000001,73929.3934118582,225427.81658943312,35499.9521157464,19651.449481922198,35873.82368753584,261.73048798638274,134.94283149666083,2.959005683026703,1.4278213338300003,29.861006744860788,8.109655221089225,0.0013086533833356205,0.00089961766193416,0.02407834507599362,0.018690883655865822,3.049231248707564,6.817844931827476,4.0,2.2359225699443592,3.049231248707564,1,compliant,start_off,rig_scale,0.6093533039093018
92300.00000000001,77309.28438070492,288901.9842800936,35499.94219778512,18183.053002043383,35960.74538135325,0.0,0.0,2.968906381239094,1.327575013190635,29.794568333574375,7.399086192511828,0.0,0.0,0.0,0.0,3.7369636337262304,9.7448092283704,4.5,2.6076810568430435,0.0,2,rigid,start_off,rig_scale,0.11772942543029785
92300.00000000001,77310.71018809445,288916.60070550034,35499.97877608552,18183.073989004413,35873.765170293416,261.7294234204461,134.94493101429728,2.9589905368334257,1.3269583434066847,29.859313053747144,7.325288822054005,0.0013086484349836582,0.0008996325551788866,0.024078243381848836,0.018690988359533613,3.737083775360175,9.745279190341403,4.5,2.6077229801536403,3.737083775360175,2,compliant,start_off,rig_scale,0.6325163841247559
92300.00000000001,79911.19001143787,361342.6904744859,35499.97003319494,16839.967103209627,35960.73443006186,0.0,0.0,2.9688823455491047,1.2357443574660187,29.79002805849177,6.725863627614683,0.0,0.0,0.0,0.0,4.5218033972809835,13.476973661510604,5.0,2.9804422133843236,0.0,3,rigid,start_off,rig_scale,0.1232917308807373
92300.00000000001,79912.3977879453,361360.5676539505,35499.993961283195,16839.97426670107,35873.83934998538,261.73074639300035,134.94505305386724,2.958964246489586,1.235193199107245,29.856962723934828,6.658772466916799,0.001308654560413489,0.0008996336497484202,0.024076591337357407,0.018687541943403326,4.521958765557919,13.477605587736488,5.0,2.9804795555079786,4.521958765557919,3,compliant,start_off,rig_scale,0.6521556377410889
92300.00000000001,73928.14173451348,225693.69183473542,35499.9999916201,19650.99576041793,36008.93227102677,0.0,0.0,2.9658995263434917,1.426804427002459,29.749523710207882,8.176848162208323,0.0,0.0,0.0,0.0,3.0528792762738948,6.826034982736174,3.9999999999999996,2.2359334920268066,0.0,4,rigid,start_off,rig_scale,0.1091310977935791
92300.00000000001,73931.19162575195,225714.24197125796,35499.97811061095,19651.024521095205,35904.82010843142,398.37120770724624,276.208397910224,2.9544325128894116,1.4254310005313935,29.86766186796649,8.00893528961583,0.0019918525044918464,0.0018413881476436625,0.041707742950951664,0.03908765745054874,3.053031298532952,6.826666822099844,3.9999999999999996,2.236029110988688,3.053031298532952,4,compliant,start_off,rig_scale,0.6560897827148438
92300.00000000001,77310.0979952194,289267.9040728229,35499.946499736034,18182.518317290473,36008.86673983241,0.0,0.0,2.965877180981238,1.325954572599329,29.747418059253505,7.385896162508571,0.0,0.0,0.0,0.0,3.7416574493374752,9.75741853404124,4.5,2.607779764884375,0.0,5,rigid,start_off,rig_scale,0.11746811866760254
92300.00000000001,77312.68262002917,289293.7465694085,35499.99606167247,18182.51037526599,35904.86392902181,398.35082412415926,276.20212508367086,2.954405903613406,1.3247394593196298,29.865143994616687,7.234193470686925,0.001991763287338475,0.0018413404065431296,0.041706112685810204,0.03908518787971056,3.74186662221008,9.758282494823286,4.5,2.6078648785595475,3.74186662221008,5,compliant,start_off,rig_scale,0.6767587661743164
92300.00000000001,79912.24570502508,361812.51859592146,35499.97675141579,16839.327369704384,36008.85220877986,0.0,0.0,2.9658526802734286,1.2342099300168612,29.74250259722004,6.713769202306022,0.0,0.0,0.0,0.0,4.527622961960757,13.494937354874704,5.0,2.9805788892218565,0.0,6,rigid,start_off,rig_scale,0.12361693382263184
92300.00000000001,79914.42946743785,361843.95718818135,35499.80511655221,16839.301759305003,35904.678158924966,398.3398808094686,276.20840253629007,2.954406596739773,1.2331250338842374,29.863457181218678,6.57586054327407,0.001991710604555442,0.0018413882014988805,0.04170763976634058,0.03908730187587124,4.527892642161943,13.496082891520343,5.0,2.9806543622033175,4.527892642161943,6,compliant,start_off,rig_scale,0.6956331729888916
92300.00000000001,73928.4905126516,225970.09379963425,35499.99996411836,19650.616980778446,36056.94366415248,0.0,0.0,2.9628739053318895,1.4250986298648025,29.702437496797984,8.162449103119354,0.0,0.0,0.0,0.0,3.0566036481018553,6.834518537995244,4.0,2.235984564289386,0.0,7,rigid,start_off,rig_scale,0.11129450798034668
92300.00000000001,73934.21194933874,226009.4664250535,35499.975016355675,19650.431657963243,35725.89025081026,705.2474638852071,542.5049709794395,2.907052899365681,1.421910251291228,29.87475904656401,7.763353371325872,0.003526229909605945,0.00361669252360346,0.06689971416709929,0.07091663792959216,3.056899647215012,6.8358690763380725,4.0,2.236209854259458,3.056899647215012,7,compliant,start_off,rig_scale,0.6526849269866943
92300.00000000001,77310.9076711396,289633.97652868036,35499.95076067675,18181.984169512525,36057.020440660475,0.0,0.0,2.962864123097006,1.3243373742177975,29.700440838100803,7.372759028822228,0.0,0.0,0.0,0.0,3.746353331676141,9.770033042832305,4.499999999999999,2.6078781757630383,0.0,8,rigid,start_off,rig_scale,0.11849117279052734
92300.00000000001,77315.34390286347,289674.10763027426,35499.98088801699,18181.918039946147,35725.57464741392,705.2323016191233,542.4961785653362,2.907016487541,1.3215457177255774,29.871437713631508,7.01238508305578,0.003526172718937268,0.0036166542664216213,0.06690126832748533,0.0709178474561386,3.7466574292705928,9.77144133179215,4.5,2.608042385986973,3.7466574292705928,8,compliant,start_off,rig_scale,0.6764285564422607
92300.00000000001,79913.30039076482,362282.64765748504,35499.982722412744,16838.68708735789,36056.88565695254,0.0,0.0,2.962828681406677,1.2326784475283934,29.695105043467777,6.701722642214588,0.0,0.0,0.0,0.0,4.533446195889467,13.512913706934603,5.000000000000001,2.980715594088603,0.0,9,rigid,start_off,rig_scale,0.12518906593322754
92300.00000000001,79917.00781775701,362330.0796731063,35499.983784561235,16838.609800624487,35725.88918811593,705.234979704234,542.5059794894396,2.907021658093413,1.230193101353871,29.870383759155345,6.374146920037963,0.00352618536332255,0.0036167080616631457,0.06690090130626879,0.0709168368231823,4.533829400862516,13.51469938041587,5.0,2.9808575156926422,4.533829400862516,9,compliant,start_off,rig_scale,0.6966171264648438
92300.00000000001,73928.14173451348,225693.69183473542,35499.9999916201,19650.99576041793,36008.93227102677,0.0,0.0,2.9658995263434917,1.426804427002459,29.749523710207882,8.176848162208323,0.0,0.0,0.0,0.0,3.0528792762738948,6.826034982736174,3.9999999999999996,2.2359334920268066,0.0,10,rigid,start_off,rig_scale,0.1097872257232666
92300.00000000001,73930.67587891151,225710.74431207916,35499.968226189594,19651.019932533745,35898.06582247582,341.4718457885519,139.3008101481314,2.9531941906544716,1.4257915290174605,29.85760015099777,8.055821806411783,0.0017073597743191581,0.000928670818432146,0.03497492590109701,0.019631542516808105,3.0530052867603015,6.8265417088009395,4.0,2.2360071817063454,3.0530052867603015,10,compliant,start_off,rig_scale,0.6686842441558838
92300.00000000001,77310.0979952194,289267.9040728229,35499.946499736034,18182.518317290473,36008.86673983241,0.0,0.0,2.965877180981238,1.325954572599329,29.747418059253505,7.385896162508571,0.0,0.0,0.0,0.0,3.7416574493374752,9.75741853404124,4.5,2.607779764884375,0.0,11,rigid,start_off,rig_scale,0.11685848236083984
92300.00000000001,77312.32850983225,289291.2602380244,35499.99168596548,18182.480655237858,35897.98590489934,341.4720324815953,139.30279257375773,2.953174219943776,1.3250525359612004,29.85441347324513,7.276522323746837,0.0017073603821277216,0.0009286849877184355,0.03497648237240358,0.019631554666550106,3.741851601342386,9.758199415340664,4.5,2.607853144507212,3.741851601342386,11,compliant,start_off,rig_scale,0.6895720958709717
92300.00000000001,79912.24570502508,361812.51859592146,35499.97675141579,16839.327369704384,36008.85220877986,0.0,0.0,2.9658526802734286,1.2342099300168612,29.74250259722004,6.713769202306022,0.0,0.0,0.0,0.0,4.527622961960757,13.494937354874704,5.0,2.9805788892218565,0.0,12,rigid,start_off,rig_scale,0.12359356880187988
92300.00000000001,79914.13132726372,361840.9679688496,35499.999867137296,16839.281325963708,35898.15847857799,341.47119479643965,139.30268534588606,2.953157996853747,1.2334035693318208,29.853254377850874,6.614337711497123,0.0017073543561306798,0.0009286841548178879,0.03497746924276828,0.019630237403331918,4.527872129236334,13.495973026401318,5.0,2.9806436014809177,4.527872129236334,12,compliant,start_off,rig_scale,0.7087726593017578
