response,note,mean,std,R2,R2_adj,R2_pred_LOO,RMSE,MAE,AIC,BIC,R2_first_order,R2_pred_first_order,RMSE_first_order,curvature_F,n_obs
P_peak_W,constant response - no model fitted,,,,,,,,,,,,,,
P_mean_W,,77263.33188405486,2570.710899516199,0.9999909869108873,0.9999862152754747,0.9999740359826748,7.573469195647175,5.955675148191706,205.95384800091324,218.91221666095652,0.9943135303879778,0.990136942137926,190.23016830556762,3569.503555057674,27.0
E_engine_J,,395303.5647923283,95768.53150266672,0.9998883412487973,0.9998292277922782,0.9996298942166887,993.0566023564453,760.5005230565903,469.2652146375322,482.2235832975755,0.9984970310396138,0.9970543009787621,3643.3645284950735,70.60880674784352,27.0
M_peak_Nm,,35499.96620242295,0.04344063076137557,0.6724295166593788,0.4990098490084617,0.12319309446484472,0.024397947659371644,0.018852115772056602,-103.89315738418622,-90.93478872414293,0.5156458772814447,-0.018353995206581875,0.029667599997958066,2.712212083583212,27.0
M_mean_Nm,,18078.34181575411,1198.7174554053381,0.9999977507325926,0.9999965599439651,0.9999938626083142,1.7641770434697086,1.5046159353835349,127.2776339287178,140.2360025887611,0.9993698230099988,0.9989259190335295,29.529282327673492,1581.962679477901,27.0
F_kch_peak_N,,45240.09510597113,4277.194603107789,0.987925545080552,0.9815331865937854,0.9708280148451305,461.2087831115507,384.62392100731785,427.85062573478046,440.80899439482374,0.9871934269359387,0.9755635195508234,474.9854079663864,0.3435906228329526,27.0
F_chv1_peak_N,constant response - no model fitted,,,,,,,,,,,,,,
F_v1v2_peak_N,constant response - no model fitted,,,,,,,,,,,,,,
a_peak_m_s2,,2.3492342573045195,0.2184323845396142,0.9819309796890306,0.9723650277596939,0.9548900011641751,0.02881304262808558,0.02514948802766404,-94.91138397442845,-81.95301531438515,0.9778645998998071,0.9627124829458672,0.03189080682626883,1.275266639199621,27.0
a_rms_m_s2,,1.0168048132482606,0.14078978848075557,0.999859769919292,0.9997855304647996,0.9996192820247644,0.0016360498800843102,0.0013937442905010197,-249.81272902668047,-236.8543603666372,0.9982494500778945,0.9962127187823162,0.005780470625718743,65.07267001380951,27.0
j_peak_m_s3,,21.741618397431452,2.931363853296721,0.9996242052745323,0.9994252551257553,0.9990172129822361,0.05576347891504899,0.04716747183238691,-59.255669881543525,-46.297301221500234,0.9951534326386968,0.9905092349465927,0.2002588172267609,67.41547060887416,27.0
j_rms_m_s3,,5.620315517455374,0.8417985789208958,0.9957480989960146,0.9934970925821399,0.9906999769983057,0.05386473807429419,0.0468670606008918,-61.12639737209031,-48.16802871204702,0.9945415262031089,0.9893388159974942,0.06103073427493694,1.6080444535413565,27.0
u1_peak_m,constant response - no model fitted,,,,,,,,,,,,,,
u2_peak_m,constant response - no model fitted,,,,,,,,,,,,,,
t_manoeuvre_s,,5.0878373428893156,1.0924306529951509,0.9998979659355672,0.9998439479014558,0.9996604998571883,0.010828573855772523,0.008169693390183126,-147.7579324139774,-134.79956375393408,0.9986145324328112,0.9972550218503099,0.03990220095309006,71.27805688604101,27.0
distance_m,,13.683566451271531,4.373492997962011,0.9997877416583258,0.9996753695950866,0.9993506502839367,0.062526714765577,0.04729644121782409,-53.07403358197928,-40.11566492193599,0.9952351938403157,0.9912196183621271,0.2962482859140929,121.53949175921572,27.0
