configuration,response,mean,sd,cv_pct,p2_5,p97_5
compliant,F_kch_peak_N,41524.154798760756,185.53698996277697,0.44681701737686935,41116.759268582384,41796.686238466515
compliant,F_chv1_peak_N,11444.46873823289,299.9724970810262,2.6211133425433615,10907.565713743223,11991.196100157435
compliant,a_peak_m_s2,2.3671715136611793,0.030660156929166994,1.2952232971808006,2.304339458002309,2.4070655489671964
compliant,j_peak_m_s3,31.599557359471188,0.8906895435694977,2.818677279042757,30.040993157797185,32.955914343339906
compliant,P_peak_W,92300.00000000001,0.0,0.0,92300.00000000001,92300.00000000001
compliant,P_mean_W,78687.31802683191,224.02544511979758,0.2847033686462744,78275.14640479287,79115.53073084803
compliant,u1_peak_m,0.057631641132494235,0.003121618673360484,5.416501442643169,0.05203969196696908,0.0640704858737624
rigid,F_kch_peak_N,45170.42319343279,1237.9422501321017,2.7406036131892666,43734.97081472522,47044.21678128341
rigid,F_chv1_peak_N,0.0,0.0,,0.0,0.0
rigid,a_peak_m_s2,2.30651767419646,0.023516875249434924,1.0195835701812987,2.2605862429798007,2.3335138720549464
rigid,j_peak_m_s3,21.381326644821165,0.40969314975761756,1.9161259568374376,20.670743617716436,22.009635535052766
rigid,P_peak_W,92300.00000000001,0.0,0.0,92300.00000000001,92300.00000000001
rigid,P_mean_W,77545.76289718461,133.85888140977517,0.17261920756038504,77333.04241572293,77766.09813363609
rigid,u1_peak_m,0.0,0.0,,0.0,0.0
reduction,F_kch_peak_N_reduction_pct,8.011166928729857,2.2579254762892202,,5.168913787201501,11.563975476991178
