response,term,coefficient,std_error,t_value,p_value,ci_low,ci_high,std_coefficient
P_mean_W,const,77310.90696515095,0.03740301296484176,2066970.0336125856,2.3903822235719798e-98,77310.82805169154,77310.98587861036,30.963110133339335
P_mean_W,x1,0.7363451587615574,0.017314230597451918,42.528321118116736,1.0444796627447851e-18,0.6998153253288574,0.7728749921942574,0.0002453775487789641
P_mean_W,x2,0.7363451587602929,0.017314230597451907,42.528321118043735,1.0444796627749906e-18,0.699815325327593,0.7728749921929928,0.00024537754877854276
P_mean_W,x3,2992.405883987475,0.017314230597451914,172829.2728426442,5.0078840968956276e-80,2992.3693541540424,2992.442413820908,0.9971807541989506
P_mean_W,x1x2,-0.002849699950947801,0.021205515126320566,-0.1343848491287399,0.8946764499252721,-0.04758942610043608,0.04189002619854047,-7.753662501902526e-07
P_mean_W,x1x3,0.35362451271070383,0.021205515126320573,16.67606330731293,5.701887698368229e-12,0.30888478656121554,0.3983642388601921,9.621662529932652e-05
P_mean_W,x2x3,0.3536245127055577,0.02120551512632056,16.676063307070265,5.701887699701718e-12,0.30888478655606944,0.398364238855046,9.621662529792633e-05
P_mean_W,x1^2,-0.0014289362125742382,0.029989127088750362,-0.047648476340955793,0.9625517009383762,-0.06470046371003878,0.061842591284890294,-2.749195364454571e-07
P_mean_W,x2^2,-0.0014289362152890308,0.029989127088750348,-0.047648476431481714,0.9625517008672861,-0.06470046371275354,0.06184259128217548,-2.749195369677684e-07
P_mean_W,x3^2,-390.01114410344354,0.029989127088750362,-13005.08490791471,6.298306655080954e-61,-390.074415630941,-389.94787257594606,-0.07503601770461153
E_engine_J,const,289633.95261885517,2.522762250076157,114808.26328763709,5.243302413308607e-77,289628.6300557608,289639.27518194955,5.103474399647999
E_engine_J,x1,370.96340173954496,1.1678119990339668,317.65678212453025,1.604246241058699e-33,368.4995337920026,373.42726968708735,0.005438725168316077
E_engine_J,x2,370.9634017395257,1.1678119990339662,317.65678212451394,1.6042462410601126e-33,368.4995337919833,373.4272696870681,0.0054387251683157955
E_engine_J,x3,68156.34211716,1.1678119990339666,58362.426635057745,5.186586227394036e-72,68153.87824921246,68158.80598510755,0.999245778733768
E_engine_J,x1x2,0.1890104377218018,1.4302717565664105,0.13215001754320502,0.8964171359665174,-2.828599194816838,3.206620070260441,2.262591787270197e-06
E_engine_J,x1x3,96.91229151658318,1.430271756566411,67.75795653634115,3.9801339583444846e-22,93.89468188404454,99.92990114912182,0.001160110296097493
E_engine_J,x2x3,96.91229151656806,1.43027175656641,67.75795653633062,3.9801339583549507e-22,93.89468188402942,99.9299011491067,0.001160110296097312
E_engine_J,x1^2,0.09442375722740601,2.0227097160154073,0.04668181325267672,0.9633108389308206,-4.173120711056429,4.361968225511241,7.992574593934913e-07
E_engine_J,x2^2,0.09442375715301868,2.0227097160154064,0.04668181321590067,0.9633108389597023,-4.173120711130815,4.3619682254368515,7.992574587638338e-07
E_engine_J,x3^2,4492.430390463727,2.0227097160154077,2220.996099882039,7.044072771734948e-48,4488.162845995444,4496.697934932011,0.0380265370264465
M_peak_Nm,const,35499.95580441743,0.0054930229851261215,6462735.710471879,9.163675116659093e-107,35499.94421515196,35499.96739368289,1586656.6174466626
M_peak_Nm,x1,0.00691725381061881,0.002542775544071192,2.7203556470988075,0.014543194004015724,0.0015524663568041676,0.012282041264433451,0.25723995493654134
M_peak_Nm,x2,0.00691725381018302,0.00254277554407119,2.720355646927426,0.014543194009227666,0.0015524663563683816,0.012282041263997658,0.2572399549203351
M_peak_Nm,x3,-0.0052153595341990185,0.002542775544071191,-2.051049903464465,0.05600197841818823,-0.010580146988013659,0.0001494279196156221,-0.19394963496867823
M_peak_Nm,x1x2,-0.005785691787890661,0.00311425130670115,-1.8578114667371857,0.080603261042804,-0.012356187708056085,0.0007848041322747641,-0.17567678641347337
M_peak_Nm,x1x3,-0.0027027444562514416,0.003114251306701151,-0.8678633129046966,0.3975551181705108,-0.009273240376416868,0.003867751463913986,-0.08206615180657405
M_peak_Nm,x2x3,-0.002702744458184173,0.003114251306701149,-0.8678633135253059,0.3975551178401956,-0.009273240378349595,0.0038677514619812493,-0.0820661518652595
M_peak_Nm,x1^2,-0.0038093097002061195,0.004404216434574899,-0.8649233653236206,0.39912191009315245,-0.01310139414202115,0.0054827747416089125,-0.08178814698610931
M_peak_Nm,x2^2,-0.0038093096991622705,0.004404216434574898,-0.8649233650866096,0.3991219102196263,-0.013101394140977298,0.005482774742652758,-0.08178814696369727
M_peak_Nm,x3^2,0.03668283302061132,0.0044042164345749,8.32902596081248,2.0993953756555482e-07,0.027390748578796288,0.04597491746242636,0.7876022626341785
M_mean_Nm,const,18181.98455523753,0.008443469524560777,2153378.3597310185,1.1915233666709101e-98,18181.966741073997,18182.002369401063,15.53722073935905
M_mean_Nm,x1,-0.5177381313053926,0.003908566898827678,-132.4623947106243,4.572855536495809e-27,-0.5259844866355423,-0.5094917759752429,-0.0003681220075390692
M_mean_Nm,x2,-0.5177381313072085,0.003908566898827675,-132.462394711089,4.572855536223349e-27,-0.5259844866373582,-0.5094917759770587,-0.00036812200754036034
M_mean_Nm,x3,-1405.9651439238178,0.003908566898827677,-359713.72124793835,1.940346734941045e-85,-1405.973390279148,-1405.9568975684876,-0.999668905989659
M_mean_Nm,x1x2,3.6692183563844666e-06,0.0047869972638301264,0.0007664968568310162,0.9993973469216777,-0.010096012179917228,0.010103350616629998,2.1301469169829895e-09
M_mean_Nm,x1x3,-0.13089265914187237,0.004786997263830128,-27.34337454731356,1.7140771725929712e-15,-0.14099234054014598,-0.12079297774359875,-7.598909828890801e-05
