response,source,df,SS,MS,F,p_value,contribution_pct
P_mean_W,Linear,3,170815380.54592562,56938460.18197521,625030.4112300882,1.1102230246251565e-16,99.41390813932749
P_mean_W,Two-factor interactions,3,29974.248044103384,9991.416014701128,109.67874509568264,2.524203068787756e-11,0.017444899470283607
P_mean_W,Quadratic (curvature),3,975514.3064435124,325171.43548117083,3569.5035550577436,1.1102230246251565e-16,0.5677456522909601
P_mean_W,Residual,17,1548.6507627502501,91.09710369119118,,,0.0009013089112696128
P_mean_W,Total,26,171822417.75117597,,,,100.0
E_engine_J,Linear,3,234449617585.54996,78149872528.51665,49895.964821942136,1.1102230246251565e-16,98.31743156592889
E_engine_J,Two-factor interactions,3,3653883857.6966553,1217961285.898885,777.6257530493463,1.1102230246251565e-16,1.5322715380325043
E_engine_J,Quadratic (curvature),3,331774479.14434814,110591493.04811604,70.60880674784633,8.388399974634808e-10,0.13913102091835783
E_engine_J,Residual,17,26626358.218060628,1566256.3657682722,,,0.011165875120264778
E_engine_J,Total,26,238461902280.609,,,,100.0
M_peak_Nm,Linear,3,0.0011681112357510848,0.00038937041191702826,0.4118523166788499,0.7465934036246362,2.3807763959902144
M_peak_Nm,Two-factor interactions,3,0.024131691968600592,0.008043897322866865,8.508344872017316,0.0011340545707723138,49.18381133215426
M_peak_Nm,Quadratic (curvature),3,0.007692479270533882,0.0025641597568446272,2.7122120835832106,0.0773991709257632,15.678363937793396
M_peak_Nm,Residual,17,0.016072015949714833,0.0009454127029244019,,,32.75704833406213
M_peak_Nm,Total,26,0.049064298424600396,,,,100.0
M_mean_Nm,Linear,3,37331964.36957606,12443988.12319202,2517447.441194487,1.1102230246251565e-16,99.9249261063816
M_mean_Nm,Two-factor interactions,3,4504.195754349232,1501.3985847830772,303.73638965718084,5.88418203051333e-15,0.01205619461827253
M_mean_Nm,Quadratic (curvature),3,23459.387241967022,7819.7957473223405,1581.962679478233,1.1102230246251565e-16,0.06279277225939253
