m_v_kg,published_rigid_N,model_rigid_N,err_rigid_pct,published_compliant_N,model_segmented_N,err_segmented_pct,published_reduction_pct,model_reduction_pct
1250,39460.0,62155.37749031875,57.51489480567347,38530.0,57134.923787746535,48.28685125291081,2.3568170299037,8.07726363395379
2500,45470.0,67701.91372883595,48.893586384068506,41630.0,62520.44005276818,50.18121559636843,8.445128656256873,7.653363680118321
3750,50270.0,76009.88967102618,51.20328162129734,46220.0,65252.95079282066,41.17903676508148,8.056494927392082,14.152025380857642
5000,53750.0,84637.88754344794,57.4658372901357,48770.0,67302.03045832964,37.99883218849629,9.265116279069767,20.482383939721
