shape,T_s,F_rigid_kN,F_seg_kN,dF_pct,dW_pct
smoothstep,3.0,35.827760000000005,38.7309829244793,-8.103277806034477,-0.07828527006338826
smoothstep,8.0,17.70276,17.710169934886995,-0.04185751197549501,-0.012764224157204004
smoothstep,20.0,11.177760000000001,11.179141618581117,-0.012360424459959933,-0.0028635651241013227
halfcosine,3.0,37.19648898470133,40.01564177866126,-7.579083055713757,-0.07618852797658307
halfcosine,8.0,18.216033369263002,18.223678558258527,-0.041969559676062106,-0.013440922749417198
halfcosine,20.0,11.3830693477052,11.384701058550915,-0.01433454190492359,-0.0029961175962050315
quintic,3.0,43.077760000000005,48.515567565856074,-12.623236597854834,-0.08264961277329952
quintic,8.0,20.42151,20.50018577898014,-0.38525936123302185,-0.016864782478695765
quintic,20.0,12.26526,12.268046791470091,-0.022721014231177936,-0.003810653785399335
