m_v_kg,rigid,segmented,reduction_pct
1250,62155.99200608433,57135.65345743573,8.07699851071023
2500,67705.35594914145,62521.90874881875,7.65588944575725
3750,76009.8914798746,65254.76810032451,14.149636540920149
5000,84638.39383269771,67304.1780921041,20.48032217489577
