m_v_kg,configuration,F_peak_N,a_peak_m_s2,P_peak_W,P_mean_W,E_J,u1_peak_mm,u2_peak_mm,t_end_s,distance_m,v_end_m_s
1250,rigid,62155.99200608433,7.329209210668978,116201.39632167322,48531.08516461458,140236.379194583,0.0,0.0,2.8896196884720267,9.114013691370278,5.0
1250,segmented,57135.65345743573,7.4763521748836865,99601.86315652326,49190.04292875204,140351.9008930958,65.06777005461136,44.89718789445786,2.8532583534514218,8.990915406357674,5.0
2500,rigid,67705.35594914145,6.8513774877139895,120134.8834499863,52377.017923742314,167866.39383456507,0.0,0.0,3.204962796449544,10.103400737806027,5.0
2500,segmented,62521.90874881875,7.4658269924699425,115133.84143813705,52166.217977229375,165320.25701564015,98.96814473962561,83.46761409401111,3.169105666962529,10.03793056553125,5.0
3750,rigid,76009.8914798746,6.755134061306762,121493.62332944994,54981.91524453143,200667.02973183984,0.0,0.0,3.6496915183724603,11.702544862979593,5.0
3750,segmented,65254.76810032451,7.4751864327835165,122637.84964608308,55634.99168914092,195912.16179401422,122.98742496848561,110.70913767197518,3.521383860155284,11.230358807291656,5.0
5000,rigid,84638.39383269771,6.707556484319753,122304.84874493776,58157.851442236046,231900.65329655097,0.0,0.0,3.9874350160077867,12.727561369322965,5.0
5000,segmented,67304.1780921041,7.485061385143467,115349.7528400693,58854.16010875876,229094.70406827924,150.5401006450662,132.3667841156605,3.8925830161355925,12.493517907810112,5.000000000000001
