configuration,response,mean,sd,cv_pct,p2_5,p97_5
compliant,F_kch_peak_N,41524.15479876076,185.53698996277697,0.4468170173768693,41116.759268582384,41796.68623846652
compliant,F_chv1_peak_N,11444.46873823289,299.9724970810262,2.621113342543361,10907.565713743224,11991.196100157436
compliant,a_peak_m_s2,2.3671715136611797,0.0306601569291669,1.2952232971808006,2.304339458002309,2.4070655489671964
compliant,j_peak_m_s3,31.599557359471188,0.8906895435694977,2.818677279042757,30.040993157797185,32.955914343339906
compliant,P_peak_W,92300.0,0.0,0.0,92300.0,92300.0
compliant,P_mean_W,78687.31802683191,224.0254451197976,0.2847033686462744,78275.14640479287,79115.53073084803
compliant,u1_peak_m,0.0576316411324942,0.0031216186733604,5.416501442643169,0.052039691966969,0.0640704858737624
rigid,F_kch_peak_N,45170.42319343279,1237.9422501321017,2.7406036131892666,43734.97081472522,47044.21678128341
rigid,F_chv1_peak_N,0.0,0.0,,0.0,0.0
rigid,a_peak_m_s2,2.30651767419646,0.0235168752494349,1.0195835701812987,2.2605862429798007,2.3335138720549464
rigid,j_peak_m_s3,21.381326644821165,0.4096931497576175,1.9161259568374376,20.67074361771644,22.00963553505277
rigid,P_peak_W,92300.0,0.0,0.0,92300.0,92300.0
rigid,P_mean_W,77545.76289718461,133.85888140977517,0.172619207560385,77333.04241572293,77766.09813363609
rigid,u1_peak_m,0.0,0.0,,0.0,0.0
reduction,F_kch_peak_N_reduction_pct,8.011166928729857,2.25792547628922,,5.168913787201501,11.563975476991178
