term,coefficient,std_error,t_value,p_value,ci_low,ci_high,std_coefficient
const,41118.41279598219,250.3516466496249,164.24262970208747,1.1849091172372618e-28,40590.216991944624,41646.60860001976,15.31272458554728
x1,2117.6893962835798,115.89029323968911,18.27322493613581,1.3019759089516881e-12,1873.182250286828,2362.196542280331,0.6561875252369924
x2,2308.801403646596,115.89029323968906,19.922301852075204,3.189239607982135e-13,2064.2942576498444,2553.308549643347,0.7154055179108428
x3,-0.0799486640930973,115.8902932396891,-0.0006898650599472,0.9994575981538776,-244.5870946608445,244.4271973326583,-2.477290396283784e-05
x1x2,-497.1329779175008,141.93604228937662,-3.5025140189829664,0.0027291291961319,-796.5918509956167,-197.67410483938488,-0.1257745151311163
x1x3,0.0920807277004726,141.93604228937667,0.0006487480291492,0.9994899261427684,-299.36679235041555,299.5509538058165,2.329640034737191e-05
x2x3,-0.0269894658634509,141.93604228937656,-0.0001901523068286,0.9998504939933032,-299.4858625439792,299.4318836122523,-6.8283278989926215e-06
x1^2,-657.2753214738468,200.7278759951976,-3.274459604651883,0.0044697857593441,-1080.7741211538817,-233.77652179381204,-0.1175851308115835
x2^2,434.627504302801,200.72787599519748,2.165257327353973,0.0448819664011696,11.128704622766406,858.1263039828357,0.0777539187583668
x3^2,-0.0985213732441096,200.7278759951976,-0.0004908205836167,0.9996140955424966,-423.59732105327896,423.4002783067907,-1.7625260194873204e-05
