response,source,df,SS,MS,F,p_value,contribution_pct
P_mean_W,Linear,3,177886149.95076022,59295383.31692007,100748.78182339536,1.1102230246251563e-16,99.3671714062806
P_mean_W,Two-factor interactions,3,73223.43273219466,24407.810910731558,41.47130988409151,4.903633266106766e-08,0.0409025963700393
P_mean_W,Quadratic (curvature),3,1049654.9026679993,349884.96755599976,594.4895249463103,1.1102230246251563e-16,0.5863370400659352
P_mean_W,Residual,17,10005.29731619607,588.5469009527101,,,0.0055889572834335
P_mean_W,Total,26,179019033.5834766,,,,100.0
F_kch_peak_N,Linear,3,176673101.52607587,58891033.84202529,243.6029537092432,3.652633751016765e-14,94.2387123947629
F_kch_peak_N,Two-factor interactions,3,2965694.4832849503,988564.82776165,4.089201636734679,0.0234540350686803,1.5819229245815634
F_kch_peak_N,Quadratic (curvature),3,3725471.55252868,1241823.8508428931,5.136808412353589,0.0103650595805302,1.9871935180908296
F_kch_peak_N,Residual,17,4109751.38055743,241750.0812092606,,,2.1921711625647133
F_kch_peak_N,Total,26,187474018.9424469,,,,100.0
a_peak_m_s2,Linear,3,0.8596748946155036,0.2865582982051678,224.32333496245863,7.238654120556022e-14,97.14302974067758
a_peak_m_s2,Two-factor interactions,3,0.0001165700241582,3.8856674719404495e-05,0.0304177506399327,0.9925917774293206,0.013172381088013
a_peak_m_s2,Quadratic (curvature),3,0.0034500320891622,0.0011500106963874,0.9002504421331556,0.4614298517139183,0.3898526895957342
a_peak_m_s2,Residual,17,0.0217163812685965,0.0012774341922703,,,2.453945188638671
a_peak_m_s2,Total,26,0.8849578779974206,,,,100.0
j_peak_m_s3,Linear,3,15.36870807926215,5.122902693087384,2705651.338818244,1.1102230246251563e-16,99.91002419599413
j_peak_m_s3,Two-factor interactions,3,0.0112344340015813,0.0037448113338604,1977.8150017866035,1.1102230246251563e-16,0.0730336321789368
j_peak_m_s3,Quadratic (curvature),3,0.0025739498827874,0.0008579832942624,453.14224920520064,2.220446049250313e-16,0.0167329221000415
j_peak_m_s3,Residual,17,3.218794104510296e-05,1.8934082967707625e-06,,,0.0002092497269158
j_peak_m_s3,Total,26,15.382548651087564,,,,100.0
u1_peak_m,Linear,3,0.0090360636857163,0.0030120212285721,1136.075989168144,1.1102230246251563e-16,96.44872756142723
u1_peak_m,Two-factor interactions,3,0.0002447890305338,8.159634351128109e-05,30.776558208730595,4.291426897173878e-07,2.6128180740143563
u1_peak_m,Quadratic (curvature),3,4.285042571064608e-05,1.4283475236882026e-05,5.3874498308871575,0.0086149769833761,0.4573749343743836
u1_peak_m,Residual,17,4.50712464429593e-05,2.651249790762312e-06,,,0.4810794301840172
u1_peak_m,Total,26,0.0093687743884038,,,,100.0
