lambda,cargo_per_tank_kg,configuration,P_peak_W,P_mean_W,E_engine_J,M_peak_Nm,M_mean_Nm,F_kch_peak_N,F_chv1_peak_N,F_v1v2_peak_N,a_peak_m_s2,a_rms_m_s2,j_peak_m_s3,j_rms_m_s3,u1_peak_m,u2_peak_m,du1_peak_m_s,du2_peak_m_s,t_manoeuvre_s,distance_m,v_end_m_s,v_mean_m_s,settling_time_s
0.25,1250.0,rigid,92300.00000000001,80090.72880655057,407848.80528549023,35499.71196362011,16738.65544593969,43795.259511163524,0.0,0.0,2.6568045198085883,1.1030078740883602,26.08217547801064,5.6101433990646665,0.0,0.0,0.0,0.0,5.092334797834085,15.291028791570547,5.0,3.0027540349135644,0.0
0.25,1250.0,compliant,92300.00000000001,80219.42686055735,407955.3252545978,35499.8377876796,16759.104255608156,39524.55650412292,8930.173385840702,4701.18773885928,2.533279122664908,1.1079060224356674,33.882660386170585,6.697035016178974,0.04465049510355849,0.03134101820660152,0.1588830851151638,0.14187004159242556,5.085492893931198,15.28892616563672,5.000000000000001,3.0063804146634068,5.085492893931198
0.5,2500.0,rigid,92300.00000000001,80210.04323897627,460828.2430975585,35499.970931707845,16666.12182135695,45466.025449622844,0.0,0.0,2.327653609588708,0.9850391339569846,23.128350917532515,5.13626565229649,0.0,0.0,0.0,0.0,5.745268603391419,17.341397081137917,5.0,3.0183788357795702,0.0
0.5,2500.0,compliant,92300.00000000001,80508.32955631726,461012.8745808056,35499.77741210944,16714.25062978657,42906.55500186212,12626.433167139856,6052.145334766511,2.380388627530067,0.9907861466242885,34.72332194942368,6.370587938521746,0.06313165539449714,0.04034716281629198,0.1723245210767904,0.14798273375760165,5.726275493746488,17.33366544445751,5.0,3.027040096130618,5.726275493746488
0.75,3750.0,rigid,92300.00000000001,80353.42048397513,517811.0431138154,35499.98242355072,16592.333955351787,50740.33620009183,0.0,0.0,2.2630963017066392,0.8844037535114193,20.789754027553613,4.560076826397184,0.0,0.0,0.0,0.0,6.444169271139893,19.5611097116629,5.0,3.0354742361842373,0.0
0.75,3750.0,compliant,92300.00000000001,80787.4689078383,518105.30445405695,35499.89107346323,16659.877630325096,44012.78856244066,16056.196247525253,7611.014700981131,2.1272562820560665,0.8919263345610882,35.521060282195094,6.165615113295334,0.08027955417709211,0.05073935305859658,0.1771001014417603,0.16050091565371605,6.41318896925843,19.548465150741603,4.999999999999999,3.0481661039826395,6.41318896925843
1.0,5000.0,rigid,92300.00000000001,80472.36262131351,579370.9614242327,35499.81432798147,16507.53707587309,52916.034911001894,0.0,0.0,2.0742649113878997,0.7956153041268325,18.882648292136196,3.991005783553829,0.0,0.0,0.0,0.0,7.199626586715665,21.98071784514124,5.0,3.0530358307817527,0.0
1.0,5000.0,compliant,92300.00000000001,81045.66784974893,579736.9573533258,35499.84923861245,16594.59283689238,47020.05556096693,18722.83409596188,8823.027532993705,2.0656630812901646,0.8092235093049963,36.26307197858307,6.038779266538266,0.09361263021026742,0.05882017633795574,0.1780429636453719,0.1672654295626929,7.153213400969238,21.957544485844128,5.0,3.0696056927318174,7.153213400969238
