sweep,value,unit,T_over_Tn,F_rigid_kN,F_seg_kN,dF_peak_pct,dP_peak_pct,dW_pct,u1_peak_mm,u2_peak_mm,zeta
cargo mass,1250.0,kg/tank,12.894598106809845,18.279788602618652,18.285353914118474,-0.030445163348459776,-0.20324955372903453,-0.0042264905597030064,17.33646131283807,10.96859919252571,
cargo mass,2500.0,kg/tank,10.065842420897408,21.35928856599756,21.373193465540815,-0.06510001257903485,-0.48712897913702224,-0.00977172074250705,28.040802982139756,17.410313767163128,
cargo mass,3750.0,kg/tank,8.53581730130347,24.438788529376467,24.44511632707915,-0.025892436096309354,-0.9091975038447057,-0.016634554984318893,38.985031163950126,24.09170960330384,
cargo mass,5000.0,kg/tank,7.542020154423713,27.51828849275537,27.7758985837668,-0.9361413994887405,-1.5583645995065343,-0.024676832866368053,50.812244378993576,31.109501093362507,
coupling stiffness,25000.0,N/m,2.6665067975193097,27.51828849275537,31.979299413267444,-16.211076941382107,1.0629800018060127,-0.33940856052026736,561.3703288833353,351.2413683722463,
coupling stiffness,50000.0,N/m,3.7710100772118564,27.51828849275537,29.01915499087379,-5.4540692038807075,-3.4699420463689994,-0.12696153890595596,235.01894614804976,142.73623114000424,
coupling stiffness,100000.0,N/m,5.3330135950386195,27.51828849275537,27.55313323349822,-0.12662393866544447,-1.2703445239783187,-0.047514345487105314,97.23864263654484,58.63695973481398,
coupling stiffness,200000.0,N/m,7.542020154423713,27.51828849275537,27.7758985837668,-0.9361413994887405,-1.5583645995065343,-0.024676832866368053,50.812244378993576,31.109501093362507,
coupling stiffness,500000.0,N/m,11.924980923436888,27.51828849275537,27.534470763560666,-0.058805513320908276,-0.5866732803512843,-0.009603335768767325,20.18645750000059,12.692099409254105,
coupling stiffness,1000000.0,N/m,16.864469752964883,27.51828849275537,27.530763863687156,-0.045334835904017254,-0.18788265372070997,-0.004704120262584683,10.318327165306208,6.654580105387972,
specific damping,0.0,N s m^-1 kg^-1,7.542020154423713,27.51828849275537,27.79599675219277,-1.0091770769483417,-1.5881508272694078,-0.024482348593940797,50.87674226882022,31.143961310138376,0.0
specific damping,0.05,N s m^-1 kg^-1,7.542020154423713,27.51828849275537,27.786097632527785,-0.9732042014274177,-1.5733916359391913,-0.02458055830462429,50.8448979043895,31.12742337514243,0.004220485754033533
specific damping,0.1,N s m^-1 kg^-1,7.542020154423713,27.51828849275537,27.7758985837668,-0.9361413994887405,-1.5583645995065343,-0.024676832866368053,50.812244378993576,31.109501093362507,0.008440971508067066
specific damping,0.5,N s m^-1 kg^-1,7.542020154423713,27.51828849275537,27.699511750313537,-0.6585557005330311,-1.4398543771192691,-0.025420992283737988,50.55874470626156,30.98146834559387,0.04220485754033533
specific damping,1.0,N s m^-1 kg^-1,7.542020154423713,27.51828849275537,27.635568454634754,-0.426189157477069,-1.3117524385959112,-0.026336415122337947,50.320359541977496,30.885774157976467,0.08440971508067066
specific damping,3.0,N s m^-1 kg^-1,7.542020154423713,27.51828849275537,27.529108129557386,-0.03931798594546631,-0.8941044452796206,-0.029608644649891387,49.621225763447,30.485415466208927,0.25322914524201195
specific damping,6.0,N s m^-1 kg^-1,7.542020154423713,27.51828849275537,27.551122642750954,-0.11931755859099442,-0.5163047989303738,-0.034037295440276776,49.12241006741405,30.057492639988084,0.5064582904840239
specific damping,10.0,N s m^-1 kg^-1,7.542020154423713,27.51828849275537,27.59195145276449,-0.2676872874143724,-0.2488385153642021,-0.039409424958302755,48.78071402816432,29.834459963527248,0.8440971508067066
specific damping,20.0,N s m^-1 kg^-1,7.542020154423713,27.51828849275537,27.611154458868583,-0.33746999250211335,-0.15163733975921243,-0.04935843700794358,47.786011133060285,29.40047353205467,1.688194301613413
guide resistance,0.0,-,7.542020154423713,27.51828849275537,28.093178675530673,-2.089120415052893,-0.0838608933878041,0.015104624749090058,58.17267300529983,40.45560881325986,
guide resistance,0.02,-,7.542020154423713,27.51828849275537,27.7758985837668,-0.9361413994887405,-1.5583645995065343,-0.024676832866368053,50.812244378993576,31.109501093362507,
guide resistance,0.05,-,7.542020154423713,27.51828849275537,27.73837117061065,-0.7997687716415225,-0.05317935950438729,-0.04613705237113289,42.77277964451274,20.812401203501203,
guide resistance,0.1,-,7.542020154423713,27.51828849275537,27.681213640450718,-0.592061340363662,-0.03832862272510841,-0.0420129067142306,29.030465855257813,5.873865433102376,
guide resistance,0.2,-,7.542020154423713,27.51828849275537,27.519790158815983,-0.005456974771551713,-0.022891074216498247,-0.00990521024174914,6.260494572650683,2.5422752293955764,
guide resistance,0.4,-,7.542020154423713,27.51828849275537,27.518363586646974,-0.00027288721688618564,-0.0072458366311997716,-0.003954674910152532,2.5922097768372443,1.2564802224142224,
