quantity,rigid,segmented,change_pct
"peak traction force, kN",27.51828849275537,27.7758985837668,-0.9361413994887405
"peak wheel torque, kN m",14.793831893705287,14.932323078633031,-0.9361413994887409
"peak power demand, kW",94.89336941869367,96.37215409499355,-1.5583645995065336
"energy demand, MJ",0.7394729297169378,0.7396554082158961,-0.0246768328663784
"min effective mass, t",22.3399,12.941013717776263,42.072194961587726
