model,m_v_kg,F_rigid_source_N,F_rigid_model_N,err_rigid_pct,F_compliant_source_N,F_compliant_model_N,err_compliant_pct
A: literal source (D_kch = 0),1250,39460.0,65828.27045106547,66.82278370771787,38530.0,55462.445385333944,43.946133883555525
A: literal source (D_kch = 0),2500,45470.0,70383.75413913037,54.79162995190316,41630.0,62254.32202946331,49.541969804139576
A: literal source (D_kch = 0),3750,50270.0,84007.26019306504,67.11211496531737,46220.0,63805.4399710768,38.04725220916659
A: literal source (D_kch = 0),5000,53750.0,91677.13549991568,70.56211255798266,48770.0,68951.15853824021,41.38027176182123
B: augmented (D_kch identified),1250,39460.0,43794.974673855075,10.985744231766535,38530.0,39524.527780773,2.5811777336439183
B: augmented (D_kch identified),2500,45470.0,45466.66265480122,-0.007339663951570433,41630.0,42906.64747965916,3.0666526054747956
B: augmented (D_kch identified),3750,50270.0,50741.615329327535,0.9381645699771926,46220.0,44013.43838934446,-4.77404069808641
B: augmented (D_kch identified),5000,53750.0,52916.65546199309,-1.550408442803553,48770.0,47020.03919929143,-3.5881911025396143
